Custid,Education,Marital_Status,Recency,MntMiniatures,MntPainting_Material,MntCard_Games,MntMagazines,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,DepVar,IMP_Income,_WARN_,IMP_MntBrandA__Material,IMP_MntScenario,campaign_acceptance,Childhome,Mnt,Frq,average_purchase,age,loyalty
140003441,Graduation,Single,43,0.1730769231,0,0.5,0.1730769231,0.1666666667,0.5,0.25,0.25,6,0,0,45422,,0.6346153846,0.1538461538,0,1,52,12,4.3333333333,32,32
140003447,Graduation,Single,77,0.7662337662,0,0.2337662338,0,0.0769230769,0.4615384615,0.3076923077,0.2307692308,4,0,0,62488,,0.8181818182,0,1,1,77,13,5.9230769231,53,25
140003462,Graduation,Married,10,0.8333333333,0,0.1666666667,0,0.1,0.5,0.2,0.3,5,0,0,59425,,0.5555555556,0,0,1,18,10,1.8,37,35
140003474,Graduation,Married,93,0.4859550562,0.0617977528,0.3525280899,0.0519662921,0.28,0.56,0.24,0.2,9,0,0,43532,,0.1516853933,0.047752809,0,1,712,25,28.48,44,44
140003483,Graduation,Together,28,0.7432614555,0.0680592992,0.1630727763,0.0080862534,0.1111111111,0.2592592593,0.2962962963,0.4444444444,8,0,0,74432,,0.0700808625,0.0175202156,0,1,1484,27,54.962962963,55,38
140003501,2n Cycle,Together,52,0.4084440228,0.0853889943,0.2941176471,0.0659392789,0.0303030303,0.2424242424,0.3939393939,0.3636363636,2,0,0,90087,,0.1062618596,0.1461100569,0,0,2108,33,63.878787879,62,44
140003513,Graduation,Single,91,0.3771769019,0.0215398717,0.5508707608,0.0100824931,0.0476190476,0.4761904762,0.1904761905,0.3333333333,3,0,1,105796,,0.0664527956,0.0403299725,3,0,2182,21,103.9047619,30,42
140003528,Graduation,Married,64,0.4892601432,0.0851233095,0.2808273667,0.0143198091,0.125,0.3125,0.3125,0.375,5,0,0,66140,,0.0954653938,0.1304693715,0,1,1257,32,39.28125,64,45
140003534,Graduation,Widow,27,0.6552296624,0.0265633647,0.2921970116,0.0083010515,0.0476190476,0.3333333333,0.2857142857,0.380952381,1,0,1,108297,,0.0116214721,0.0177089098,3,0,1807,21,86.047619048,48,25
140003543,2n Cycle,Single,56,0.8469308469,0.013986014,0.1118881119,0.0085470085,0.16,0.28,0.24,0.48,8,0,0,79564,,0.0606060606,0.0186480186,1,1,1287,25,51.48,61,39
140003549,Master,Together,49,0.3392645314,0.0379596679,0.4697508897,0.153024911,0.037037037,0.4444444444,0.3333333333,0.2222222222,4,0,0,85785,,0.1542111507,0,0,1,843,27,31.222222222,57,23
140003567,Graduation,Divorced,67,0.3596491228,0.0789473684,0.3333333333,0.0175438596,0.2142857143,0.4285714286,0.2142857143,0.3571428571,5,0,0,54315,,0.0263157895,0.2105263158,0,1,114,14,8.1428571429,57,30
140003588,Graduation,Married,11,0.6176470588,0.0367647059,0.2794117647,0.0220588235,0.2857142857,0.4285714286,0.2142857143,0.3571428571,5,0,0,63869,,0.2426470588,0.0441176471,0,1,136,14,9.7142857143,63,33
140003594,Graduation,Together,72,0.9283088235,0,0.0716911765,0,0.2083333333,0.4583333333,0.25,0.2916666667,6,0,0,57499,,0.1801470588,0,1,1,544,24,22.666666667,53,42
140003612,Graduation,Married,89,0.7878787879,0.0303030303,0.1818181818,0,0.25,0.5,0.25,0.25,7,0,0,55485,,0.2424242424,0,0,1,66,12,5.5,43,40
140003615,2n Cycle,Married,3,0.3435582822,0.1809815951,0.263803681,0.1012269939,0.1111111111,0.3888888889,0.1666666667,0.4444444444,4,0,0,68365,,0.0797546012,0.1104294479,0,1,326,18,18.111111111,43,35
140003624,Graduation,Single,15,0.5053763441,0.1146953405,0.192353644,0.0848267622,0.0740740741,0.4074074074,0.1851851852,0.4074074074,3,0,0,73877,,0.3345280765,0.1027479092,0,1,837,27,31,44,31
140003627,Graduation,Married,88,0.3027190332,0.0809667674,0.5123867069,0.0422960725,0.0384615385,0.2692307692,0.2692307692,0.4615384615,1,0,0,96452,,0.019939577,0.0616314199,0,0,1655,26,63.653846154,43,27
140003633,Master,Together,47,0.2600401606,0.0331325301,0.5753012048,0.0411646586,0.0357142857,0.3214285714,0.25,0.4285714286,3,0,0,77615,,0.0692771084,0.0903614458,0,0,996,28,35.571428571,44,25
140003636,Graduation,Single,44,0.375,0.03125,0.546875,0.015625,0.2307692308,0.4615384615,0.1538461538,0.3846153846,6,0,0,39871,,0.046875,0.03125,0,1,64,13,4.9230769231,43,37
140003648,Master,Together,77,0.8754716981,0.0113207547,0.1132075472,0,0.2222222222,0.5,0.2222222222,0.2777777778,7,0,0,49124,,0.0867924528,0,1,1,265,18,14.722222222,67,25
140003654,Graduation,Married,87,0.6678082192,0.0102739726,0.1746575342,0.0582191781,0.0555555556,0.3888888889,0.2222222222,0.3888888889,4,0,0,61171,,0.1883561644,0.0890410959,1,0,292,18,16.222222222,28,25
140003657,Basic,Together,11,0.0434782609,0.1086956522,0.1304347826,0.1956521739,0.0909090909,0.4545454545,0.2727272727,0.2727272727,8,0,0,28216,,0.4565217391,0.5217391304,1,1,46,11,4.1818181818,30,29
140003669,2n Cycle,Married,2,0.143067124,0.0377266046,0.7212150906,0.0759431651,0.0434782609,0.347826087,0.347826087,0.3043478261,1,0,1,108442,,0.0112689858,0.0220480157,0,0,2041,23,88.739130435,30,25
140003690,Graduation,Married,62,0.3377703827,0.1846921797,0.3577371048,0.0898502496,0.0434782609,0.347826087,0.1739130435,0.4782608696,4,0,0,78462,,0.1397670549,0.0299500832,0,1,601,23,26.130434783,46,31
140003705,Graduation,Married,59,0.504587156,0.0183486239,0.4311926606,0.0091743119,0.1538461538,0.4615384615,0.3076923077,0.2307692308,6,0,0,46089,,0.6880733945,0.0366972477,1,1,109,13,8.3846153846,41,23
140003750,Graduation,Married,67,0.850174216,0,0.1411149826,0.0087108014,0.2916666667,0.4583333333,0.3333333333,0.2083333333,7,0,0,63419,,0.2979094077,0,0,1,574,24,23.916666667,64,33
140003765,Graduation,Married,51,0.4955414013,0.0878980892,0.2636942675,0.0535031847,0.0384615385,0.3461538462,0.3846153846,0.2692307692,3,0,0,66490,,0.2522292994,0.0993630573,1,0,785,26,30.192307692,43,24
140003774,Graduation,Single,88,0.1857887875,0.0775749674,0.6023468057,0.0599739244,0.0416666667,0.2916666667,0.25,0.4583333333,1,0,0,88943,,0.1258148631,0.074315515,0,0,1534,24,63.916666667,34,34
140003837,Graduation,Single,12,0.0705064548,0.1479642502,0.414101291,0.1271102284,0.037037037,0.3333333333,0.4444444444,0.2222222222,1,0,0,95838,,0.0486593843,0.2403177756,0,1,1007,27,37.296296296,59,23
140003846,Basic,Divorced,37,0.0425531915,0.170212766,0.3829787234,0.0638297872,0.2307692308,0.4615384615,0.1538461538,0.3846153846,5,0,0,20403,,0.2127659574,0.3404255319,0,1,47,13,3.6153846154,45,29
140003891,Master,Divorced,53,0.6291390728,0.0264900662,0.2928623988,0.0161883738,0.08,0.32,0.16,0.52,8,0,0,67545,,0.0345842531,0.0353200883,0,0,1359,25,54.36,66,35
140003906,PhD,Married,71,0.8461538462,0,0.1538461538,0,0.1,0.5,0.2,0.3,6,0,0,55329,,0.1538461538,0,0,1,13,10,1.3,42,36
140003915,Graduation,Married,19,0.3452380952,0.0595238095,0.5714285714,0.0238095238,0.2307692308,0.4615384615,0.2307692308,0.3076923077,8,0,1,34713,,0.2380952381,0,0,1,84,13,6.4615384615,28,37
140003924,PhD,Together,43,0.8888888889,0,0.1111111111,0,0.1818181818,0.4545454545,0.2727272727,0.2727272727,5,0,0,37012,,0.4444444444,0,1,1,27,11,2.4545454545,62,24
140003936,PhD,Divorced,21,0.3031496063,0.1036745407,0.532808399,0.0393700787,0.037037037,0.3333333333,0.3333333333,0.3333333333,1,0,1,102713,,0.010936133,0.0209973753,1,0,2286,27,84.666666667,56,29
140003939,PhD,Married,23,0.8157894737,0,0.1842105263,0,0.1875,0.5,0.1875,0.3125,7,0,0,42264,,0.2842105263,0,0,1,190,16,11.875,42,45
140003960,Graduation,Together,13,0.8808290155,0,0.1088082902,0,0.0625,0.5625,0.1875,0.25,7,0,0,72639,,0.2227979275,0.0103626943,0,1,193,16,12.0625,42,23
140003975,2n Cycle,Single,3,0.1982758621,0.1428571429,0.4753694581,0.052955665,0.04,0.24,0.28,0.48,1,0,0,76404,,0.104679803,0.1305418719,0,0,812,25,32.48,28,27
140003978,Graduation,Married,46,0.2509247842,0.1054254007,0.4827373613,0.0992601726,0.0384615385,0.3846153846,0.3076923077,0.3076923077,2,0,0,97802,,0.1023427867,0.0616522811,0,0,1622,26,62.384615385,51,23
140003987,Graduation,Single,13,0.3497431507,0.1190068493,0.4413527397,0.0428082192,0.04,0.32,0.32,0.36,2,0,1,94424,,0.1344178082,0.0470890411,1,0,2336,25,93.44,44,45
140003999,Graduation,Divorced,93,0.3404864092,0.0114449213,0.5350500715,0.0214592275,0.2083333333,0.5833333333,0.125,0.2916666667,7,0,0,74966,,0.2632331903,0.0915593705,0,1,699,24,29.125,42,36
140004005,2n Cycle,Married,88,0.213836478,0.320754717,0.251572327,0.1383647799,0.1111111111,0.3333333333,0.1666666667,0.5,2,0,0,60954,,0.0817610063,0.0754716981,0,1,318,18,17.666666667,62,23
140004008,Master,Divorced,50,0.3225806452,0.0483870968,0.564516129,0.0322580645,0.3571428571,0.5,0.1428571429,0.3571428571,8,0,0,20313,,0.0967741935,0.0322580645,0,1,62,14,4.4285714286,51,39
140004017,Master,Divorced,78,0.555431131,0.0638297872,0.3258678611,0.039193729,0.0357142857,0.3214285714,0.4642857143,0.2142857143,5,0,0,66376,,0.0425531915,0.0156774916,0,0,893,28,31.892857143,39,37
140004020,Graduation,Married,13,0.3543478261,0.1565217391,0.2934782609,0,0.05,0.35,0.2,0.45,3,0,0,75042,,0.147826087,0.1956521739,0,1,460,20,23,39,31
140004038,2n Cycle,Married,85,0.2105263158,0.1052631579,0.4736842105,0.0701754386,0.0833333333,0.5,0.1666666667,0.3333333333,6,0,0,45597,,0.0701754386,0.1403508772,0,1,57,12,4.75,44,23
140004050,Graduation,Together,55,0.4744455159,0.0371263259,0.31243973,0.0602700096,0.0303030303,0.2121212121,0.3636363636,0.4242424242,1,0,0,98861,,0.1190935391,0.1157184185,1,0,2074,33,62.848484848,43,42
140004059,2n Cycle,Married,58,0.7851140456,0.0132052821,0.1656662665,0,0.25,0.4642857143,0.2142857143,0.3214285714,6,0,0,78399,,0.0468187275,0.0360144058,2,1,833,28,29.75,50,28
140004068,PhD,Married,90,0.3989501312,0.0367454068,0.4776902887,0.0236220472,0.2105263158,0.5263157895,0.2105263158,0.2631578947,8,0,0,33219,,0.154855643,0.062992126,0,1,381,19,20.052631579,32,45
140004071,Graduation,Single,76,0.2897862233,0.1197149644,0.5543942993,0.0137767221,0.0344827586,0.3448275862,0.1724137931,0.4827586207,2,0,1,110872,,0.0779097387,0.022327791,3,0,2105,29,72.586206897,25,35
140004077,Graduation,Divorced,78,0.6842105263,0,0.2105263158,0.0350877193,0.3333333333,0.4666666667,0.2,0.3333333333,5,0,0,54103,,0.1871345029,0.0701754386,0,1,171,15,11.4,55,35
140004086,2n Cycle,Together,70,0.2233721432,0.0668391548,0.4799482536,0.0668391548,0.0434782609,0.347826087,0.347826087,0.3043478261,3,0,0,84075,,0.0871065114,0.1630012937,0,0,2319,23,100.82608696,46,39
140004089,Graduation,Together,38,0.2744897959,0.1306122449,0.3795918367,0.0132653061,0.0740740741,0.3333333333,0.2222222222,0.4444444444,3,0,0,71912,,0.0193877551,0.2020408163,0,1,980,27,36.296296296,62,36
140004095,Basic,Single,23,0.2222222222,0.1666666667,0.2222222222,0.2777777778,0.1818181818,0.4545454545,0.1818181818,0.3636363636,7,0,0,36961,,0.4166666667,0.1111111111,0,1,36,11,3.2727272727,54,43
140004110,Graduation,Single,25,0.8402684564,0,0.1409395973,0,0.0740740741,0.4814814815,0.1851851852,0.3333333333,6,0,0,78252,,0.0496644295,0.0187919463,2,1,745,27,27.592592593,43,26
140004113,PhD,Together,28,0.2157190635,0.0443143813,0.6914715719,0.0200668896,0.05,0.3,0.3,0.4,1,0,0,84276,,0.0677257525,0.0284280936,0,0,1196,20,59.8,73,36
140004125,Basic,Married,45,0.1851851852,0.4444444444,0.2962962963,0,0.0909090909,0.4545454545,0.1818181818,0.3636363636,4,0,0,34652,,0.4814814815,0.0740740741,0,1,27,11,2.4545454545,39,31
140004176,Graduation,Married,26,0.2873563218,0.0689655172,0.6436781609,0,0.2142857143,0.5,0.1428571429,0.3571428571,6,0,0,27237,,0.0344827586,0,0,1,87,14,6.2142857143,44,28
140004179,2n Cycle,Single,11,0.7164634146,0,0.118902439,0.0243902439,0.1578947368,0.4210526316,0.1578947368,0.4210526316,5,0,0,66522,,0.1890243902,0.1402439024,0,1,328,19,17.263157895,37,43
140004188,Graduation,Married,31,0.85,0,0.15,0,0.1818181818,0.4545454545,0.1818181818,0.3636363636,6,1,0,26715,,0.15,0,0,1,20,11,1.8181818182,65,26
140004218,Basic,Single,29,0.0712166172,0.0522255193,0.7988130564,0.037388724,0.0434782609,0.4347826087,0.2173913043,0.347826087,2,0,1,100406,,0.1198813056,0.0403560831,0,0,1685,23,73.260869565,34,28
140004236,Graduation,Single,54,0.1333333333,0.0476190476,0.419047619,0.0761904762,0.1538461538,0.5384615385,0.1538461538,0.3076923077,9,0,0,27859,,0.0761904762,0.3238095238,0,1,105,13,8.0769230769,27,36
140004254,Graduation,Married,72,0.3630987581,0.0230632762,0.4612655234,0.042578356,0.037037037,0.2592592593,0.4814814815,0.2592592593,1,0,0,82933,,0.0307510349,0.1099940863,1,0,1691,27,62.62962963,43,35
140004266,Graduation,Together,26,0.5333333333,0.0148148148,0.3703703704,0.0518518519,0.2857142857,0.5,0.2142857143,0.2857142857,8,0,1,58044,,0.179028379,0.0296296296,0,1,135,14,9.6428571429,64,31
140004272,Graduation,Married,7,0.4663526245,0.1749663526,0.1049798116,0.0787348587,0,0.3,0.3,0.4,2,0,0,99817,,0.0572005384,0.1749663526,1,0,1486,30,49.533333333,69,42
140004284,Graduation,Together,98,0.2997870075,0.0394036209,0.6182108626,0.0101171459,0.0303030303,0.3333333333,0.2727272727,0.3939393939,3,0,0,98043,,0.1299254526,0.0324813632,0,0,1878,33,56.909090909,31,44
140004287,2n Cycle,Married,75,0.6821052632,0.0252631579,0.1705263158,0,0.1379310345,0.5172413793,0.1379310345,0.3448275862,8,0,0,71881,,0.1021052632,0.1221052632,0,1,950,29,32.75862069,60,41
140004305,Master,Single,51,0.1972789116,0.3537414966,0.3129251701,0.0476190476,0.0588235294,0.4117647059,0.1764705882,0.4117647059,3,0,0,63603,,0.0442176871,0.0884353741,0,1,294,17,17.294117647,54,30
140004329,Graduation,Together,53,0.2763873776,0.0576713819,0.563656148,0.0413492927,0.037037037,0.2962962963,0.2962962963,0.4074074074,2,0,0,77756,,0.0402611534,0.0609357998,0,0,919,27,34.037037037,62,26
140004365,Graduation,Together,23,0.2605678233,0.1015772871,0.5772870662,0.0195583596,0.0416666667,0.3333333333,0.3333333333,0.3333333333,1,0,0,101745,,0.029022082,0.0410094637,0,0,1585,24,66.041666667,68,26
140004371,Graduation,Married,7,0.1577981651,0.128440367,0.6137614679,0.0577981651,0.0434782609,0.4347826087,0.347826087,0.2173913043,2,0,1,92607,,0.1669724771,0.0422018349,2,0,1090,23,47.391304348,62,37
140004377,Graduation,Together,38,0.2307692308,0.2307692308,0.3846153846,0,0.1,0.5,0.2,0.3,6,0,0,30874,,0.1538461538,0.1538461538,0,1,13,10,1.3,52,26
140004380,2n Cycle,Divorced,91,0.0909090909,0.2,0.3818181818,0.1090909091,0.1666666667,0.5,0.1666666667,0.3333333333,7,0,0,21884,,0.4363636364,0.2181818182,0,1,55,12,4.5833333333,29,39
140004383,2n Cycle,Single,35,0.1044973545,0.0489417989,0.7341269841,0.0145502646,0.0285714286,0.3142857143,0.2857142857,0.4,5,0,1,110686,,0.0211640212,0.0978835979,3,0,1512,35,43.2,50,36
140004389,Basic,Single,73,0.1217391304,0.0695652174,0.4956521739,0.0869565217,0.2142857143,0.5,0.2142857143,0.2857142857,9,0,0,28158,,0.6608695652,0.2260869565,0,1,115,14,8.2142857143,27,45
140004392,Graduation,Together,64,0.5563957152,0.0604914934,0.288594833,0.063642092,0.0322580645,0.3225806452,0.2903225806,0.3870967742,3,0,0,88885,,0.0529300567,0.0308758664,0,0,1587,31,51.193548387,24,29
140004407,Basic,Together,69,0.3838245374,0.0287868403,0.287868403,0.0692254969,0,0.5,0.25,0.25,2,0,0,101792,,0.0226182317,0.2302947224,0,0,1459,28,52.107142857,43,25
140004410,Graduation,Widow,90,0.4336492891,0.0781990521,0.4881516588,0,0.03125,0.3125,0.40625,0.28125,8,0,1,99754,,0.0687203791,0,4,0,422,32,13.1875,68,45
140004419,2n Cycle,Married,54,0.1621621622,0.1216216216,0.4054054054,0.2837837838,0.1666666667,0.5,0.1666666667,0.3333333333,7,0,0,42948,,0.0540540541,0.027027027,0,1,74,12,6.1666666667,46,40
140004422,Graduation,Single,60,0.330749354,0.0387596899,0.3488372093,0.2661498708,0.05,0.4,0.25,0.35,3,0,0,76688,,0.0671834625,0.015503876,0,1,387,20,19.35,48,29
140004431,Graduation,Widow,46,0.4166666667,0.0714285714,0.3095238095,0.0595238095,0.0769230769,0.4615384615,0.3076923077,0.2307692308,5,0,0,51622,,1,0.1428571429,0,1,84,13,6.4615384615,63,30
140004434,Graduation,Together,66,0.2479414456,0.043915828,0.4967978042,0.0612991766,0.0344827586,0.275862069,0.275862069,0.4482758621,2,0,0,85239,,0.0292772187,0.1500457457,0,0,1093,29,37.689655172,61,26
140004437,2n Cycle,Married,41,0.3554006969,0.0104529617,0.4181184669,0.0487804878,0.1764705882,0.4705882353,0.2941176471,0.2352941176,4,0,0,63019,,0.724738676,0.1672473868,0,0,287,17,16.882352941,45,37
140004473,Master,Together,31,0.5129930394,0,0.3730858469,0,0.1818181818,0.4545454545,0.1818181818,0.3636363636,6,0,0,38024,,0.0932714617,0.1139211137,0,1,21.44278607,11,1.9493441882,42,23
140004476,Graduation,Single,49,0.4535017222,0.0964408726,0.401836969,0,0.1111111111,0.3333333333,0.4074074074,0.2592592593,3,0,0,79273,,0.2009184845,0.0482204363,0,1,871,27,32.259259259,57,29
140004482,Master,Married,62,0.35,0.0625,0.4875,0.025,0.1666666667,0.5,0.1666666667,0.3333333333,8,0,0,28498,,0.125,0.075,0,1,80,12,6.6666666667,42,44
140004485,2n Cycle,Together,87,0.4324880055,0.0287868403,0.5051405072,0.0143934202,0.0357142857,0.3571428571,0.3214285714,0.3214285714,3,0,0,86673,,0.05003427,0.0191912269,0,0,1459,28,52.107142857,38,42
140004488,Graduation,Together,82,0.4112754159,0.0489833641,0.4066543438,0.0517560074,0.0333333333,0.3666666667,0.1666666667,0.4666666667,3,0,0,95589,,0.0536044362,0.0813308688,0,1,1082,30,36.066666667,40,34
140004494,Graduation,Single,43,0.1290322581,0.1935483871,0.1935483871,0.1612903226,0.0909090909,0.4545454545,0.1818181818,0.3636363636,2,0,0,30967,,0.1290322581,0.3225806452,0,0,31,11,2.8181818182,41,27
140004500,Graduation,Widow,0,0.3889154324,0,0.4773053034,0.0105112279,0.04,0.32,0.32,0.36,2,0,1,103676,,0.0573339704,0.1232680363,2,0,2093,25,83.72,67,37
140004518,Graduation,Married,29,0.3492647059,0.0698529412,0.4767156863,0.0428921569,0.2307692308,0.4615384615,0.1538461538,0.3846153846,7,0,0,68440,,0.1850490196,0.0612745098,0,1,816,26,31.384615385,43,43
140004521,2n Cycle,Married,30,0.2114695341,0.0379928315,0.5182795699,0.0602150538,0.037037037,0.3333333333,0.2592592593,0.4074074074,3,0,0,84345,,0.0372759857,0.1720430108,0,0,1395,27,51.666666667,45,37
140004524,Master,Together,29,0.5423387097,0.0383064516,0.3685483871,0,0.0344827586,0.3103448276,0.4137931034,0.275862069,2,0,0,101512,,0.0552419355,0.0508064516,1,0,2480,29,85.517241379,54,32
140004527,2n Cycle,Single,79,0.2722298222,0.1135430917,0.4085727314,0.0542635659,0.0454545455,0.4090909091,0.3636363636,0.2272727273,3,0,0,86628,,0.1477428181,0.1513907889,0,0,2193,22,99.681818182,30,39
140004530,PhD,Together,43,0.8606557377,0,0.1229508197,0,0.1428571429,0.4285714286,0.2142857143,0.3571428571,5,0,0,63424,,0,0.0163934426,0,1,122,14,8.7142857143,63,26
140004542,Basic,Married,43,0.0344827586,0.2413793103,0.2586206897,0.1551724138,0.2307692308,0.4615384615,0.2307692308,0.3076923077,8,0,0,16626,,0.3448275862,0.3103448276,0,1,58,13,4.4615384615,43,34
140004551,2n Cycle,Together,15,0.4791666667,0.0416666667,0.3125,0.0416666667,0.1818181818,0.4545454545,0.1818181818,0.3636363636,6,0,0,47972,,0.125,0.125,0,1,48,11,4.3636363636,51,29
140004554,Graduation,Single,69,0.2032520325,0.1951219512,0.3414634146,0,0.1428571429,0.5,0.1428571429,0.3571428571,7,0,0,43035,,0.1544715447,0.2601626016,0,1,123,14,8.7857142857,33,31
140004569,Graduation,Together,32,0.5048766495,0.0499139415,0.3407917384,0.0378657487,0.0344827586,0.3103448276,0.4482758621,0.2413793103,2,0,0,85610,,0.0436029834,0.066551922,1,0,1743,29,60.103448276,74,42
140004581,2n Cycle,Married,56,0.4666666667,0.073015873,0.4285714286,0,0.3888888889,0.5555555556,0.1666666667,0.2777777778,9,0,0,35677,,0.4253968254,0.0317460317,0,1,315,18,17.5,51,37
140004584,2n Cycle,Married,34,0.06,0.24,0.3,0.08,0.0909090909,0.4545454545,0.2727272727,0.2727272727,8,0,0,24634,,0.66,0.32,0,1,50,11,4.5454545455,44,43
140004590,Graduation,Single,42,0.5204778157,0.0614334471,0.337883959,0.0153583618,0.2173913043,0.4347826087,0.1739130435,0.3913043478,8,0,0,41730,,0.4044368601,0.0648464164,0,1,586,23,25.47826087,37,45
140004608,Basic,Single,23,0.2222222222,0.0513888889,0.4333333333,0.0319444444,0.2258064516,0.3548387097,0.2258064516,0.4193548387,4,0,0,90399,,0.1013888889,0.2611111111,0,1,720,31,23.225806452,50,45
140004611,Graduation,Married,3,0.5948103792,0.0359281437,0.2854291417,0.0159680639,0.2727272727,0.4545454545,0.1363636364,0.4090909091,7,0,0,69487,,0.0459081836,0.0678642715,0,1,501,22,22.772727273,39,38
