Education,Marital_Status,MntMiniatures,MntPainting_Material,MntCard_Games,MntMagazines,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Complain,DepVar,_WARN_,IMP_MntBrandA__Material,IMP_MntScenario,Childhome,RANGE_Frq,RANGE_IMP_Income,RANGE_Mnt,RANGE_NumWebVisitsMonth,RANGE_Recency,RANGE_age,RANGE_average_purchase,RANGE_campaign_acceptance,RANGE_loyalty
Basic,Single,0.1840744571,0.0237849018,0.6256463289,0.1664943123,0.3888888889,0.3888888889,0.1666666667,0.4444444444,0,1,,0.2709410548,0,1,0.2666666667,0.3889433599,0.2946785604,0.4545454545,0.9090909091,0.3818181818,0.3806549764,0.25,0.5652173913
2n Cycle,Together,0.5443037975,0.0506329114,0.2658227848,0.0379746835,0.0833333333,0.4166666667,0.1666666667,0.4166666667,0,0,,0.0775316456,0.1012658228,0,0.4666666667,0.4740085792,0.1916333436,0.5454545455,0.9595959596,0.5454545455,0.1832812875,0.25,0.0869565217
Graduation,Single,0.5333333333,0.0666666667,0.3333333333,0.0666666667,0.1666666667,0.5,0.1666666667,0.3333333333,0,0,,0.2666666667,0,1,0.0666666667,0.3788847063,0.0110735158,0.1818181818,0.7070707071,0.3636363636,0.0205380735,0,0
Master,Married,0.5849056604,0,0.3396226415,0,0.1666666667,0.5,0.25,0.25,0,1,,0.3962264151,0.0754716981,1,0.0666666667,0.2414514576,0.0135342971,0.2727272727,0.0101010101,0.4181818182,0.0253423012,0,0.5652173913
2n Cycle,Single,0.303030303,0.0114660115,0.4078624079,0.0909090909,0.1428571429,0.4761904762,0.2380952381,0.2857142857,0,0,,0.0303030303,0.1867321867,1,0.3666666667,0.6657357962,0.3728083667,0.5454545455,0.7171717172,0.2909090909,0.4125115816,0,0.0434782609
Graduation,Divorced,0.7962662338,0.0284090909,0.1404220779,0.0170454545,0.125,0.25,0.4583333333,0.2916666667,0,1,,0.2069805195,0.0178571429,1,0.4666666667,0.7366628732,0.3761919409,0.1818181818,0.5353535354,0.4545454545,0.363439827,0.5,0.347826087
Basic,Married,0.5258215962,0.0985915493,0.2112676056,0.0516431925,0.25,0.4375,0.1875,0.375,0,0,,0.117370892,0.1126760563,1,0.2,0.1820887683,0.0627499231,0.2727272727,0.1919191919,0.8181818182,0.0894487149,0,0.8695652174
Graduation,Single,0.1730769231,0,0.5,0.1730769231,0.1666666667,0.5,0.25,0.25,0,0,,0.6346153846,0.1538461538,1,0.0666666667,0.3188479384,0.0132266995,0.1818181818,0.4343434343,0.2363636364,0.0247417728,0,0.3913043478
Graduation,Single,0.7662337662,0,0.2337662338,0,0.0769230769,0.4615384615,0.3076923077,0.2307692308,0,0,,0.8181818182,0,1,0.1,0.468248271,0.020916641,0.1818181818,0.7777777778,0.6181818182,0.0361980081,0.25,0.0869565217
Graduation,Married,0.8333333333,0,0.1666666667,0,0.1,0.5,0.2,0.3,0,0,,0.5555555556,0,1,0,0.4414339491,0.002768379,0.0909090909,0.101010101,0.3272727273,0.0064857074,0,0.5217391304
Graduation,Married,0.4859550562,0.0617977528,0.3525280899,0.0519662921,0.28,0.56,0.24,0.2,0,0,,0.1516853933,0.047752809,1,0.5,0.3023023724,0.2162411566,0.9090909091,0.9393939394,0.4545454545,0.1987509008,0,0.9130434783
Graduation,Together,0.7432614555,0.0680592992,0.1630727763,0.0080862534,0.1111111111,0.2592592593,0.2962962963,0.4444444444,0,0,,0.0700808625,0.0175202156,1,0.5666666667,0.5728092445,0.4537065518,0.3636363636,0.2828282828,0.6545454545,0.389596178,0,0.652173913
2n Cycle,Together,0.4084440228,0.0853889943,0.2941176471,0.0659392789,0.0303030303,0.2424242424,0.3939393939,0.3636363636,0,0,,0.1062618596,0.1461100569,0,0.7666666667,0.7098573054,0.6456474931,0.3636363636,0.5252525253,0.7818181818,0.4538466578,0,0.9130434783
Graduation,Single,0.3771769019,0.0215398717,0.5508707608,0.0100824931,0.0476190476,0.4761904762,0.1904761905,0.3333333333,0,1,,0.0664527956,0.0403299725,0,0.3666666667,0.8473780968,0.6684097201,0.5454545455,0.9191919192,0.2,0.7422874987,0.75,0.8260869565
Graduation,Married,0.4892601432,0.0851233095,0.2808273667,0.0143198091,0.125,0.3125,0.3125,0.375,0,0,,0.0954653938,0.1304693715,1,0.7333333333,0.5002188567,0.3838818825,0.5454545455,0.6464646465,0.8181818182,0.2765883978,0,0.9565217391
Graduation,Widow,0.6552296624,0.0265633647,0.2921970116,0.0083010515,0.0476190476,0.3333333333,0.2857142857,0.380952381,0,1,,0.0116214721,0.0177089098,0,0.3666666667,0.8692725204,0.5530605967,0.2727272727,0.2727272727,0.5272727273,0.6136028276,0.75,0.0869565217
2n Cycle,Single,0.8469308469,0.013986014,0.1118881119,0.0085470085,0.16,0.28,0.24,0.48,0,0,,0.0606060606,0.0186480186,1,0.5,0.6177361464,0.3931098124,0.3636363636,0.5656565657,0.7636363636,0.3644967571,0.25,0.6956521739
Master,Together,0.3392645314,0.0379596679,0.4697508897,0.153024911,0.037037037,0.4444444444,0.3333333333,0.2222222222,0,0,,0.1542111507,0,1,0.5666666667,0.6721964458,0.2565364503,0.7272727273,0.4949494949,0.6909090909,0.2185122908,0,0
Graduation,Divorced,0.3596491228,0.0789473684,0.3333333333,0.0175438596,0.2142857143,0.4285714286,0.2142857143,0.3571428571,0,0,,0.0263157895,0.2105263158,1,0.1333333333,0.3966996411,0.0322977545,0.1818181818,0.6767676768,0.6909090909,0.0521945026,0,0.3043478261
Graduation,Married,0.6176470588,0.0367647059,0.2794117647,0.0220588235,0.2857142857,0.4285714286,0.2142857143,0.3571428571,0,0,,0.2426470588,0.0441176471,1,0.1333333333,0.4803379147,0.0390649031,0.1818181818,0.1111111111,0.8,0.0635187536,0,0.4347826087
Graduation,Together,0.9283088235,0,0.0716911765,0,0.2083333333,0.4583333333,0.25,0.2916666667,0,0,,0.1801470588,0,1,0.4666666667,0.4245732294,0.1645647493,0.6363636364,0.7272727273,0.6181818182,0.1568580351,0.25,0.8260869565
Graduation,Married,0.7878787879,0.0303030303,0.1818181818,0,0.25,0.5,0.25,0.25,0,0,,0.2424242424,0,1,0.0666666667,0.4069421343,0.0175330667,0.2727272727,0.898989899,0.4363636364,0.0331491713,0,0.7391304348
2n Cycle,Married,0.3435582822,0.1809815951,0.263803681,0.1012269939,0.1111111111,0.3888888889,0.1666666667,0.4444444444,0,0,,0.0797546012,0.1104294479,1,0.2666666667,0.5196971023,0.0975084589,0.2727272727,0.0303030303,0.4363636364,0.1240291456,0,0.5217391304
Graduation,Single,0.5053763441,0.1146953405,0.192353644,0.0848267622,0.0740740741,0.4074074074,0.1851851852,0.4074074074,0,0,,0.3345280765,0.1027479092,1,0.5666666667,0.5679506259,0.2546908643,0.6363636364,0.1515151515,0.4545454545,0.2169108816,0,0.347826087
Graduation,Married,0.3027190332,0.0809667674,0.5123867069,0.0422960725,0.0384615385,0.2692307692,0.2692307692,0.4615384615,0,0,,0.019939577,0.0616314199,0,0.5333333333,0.7655782194,0.5063057521,0.2727272727,0.8888888889,0.4363636364,0.4522256509,0,0.1739130435
Master,Together,0.2600401606,0.0331325301,0.5753012048,0.0411646586,0.0357142857,0.3214285714,0.25,0.4285714286,0,0,,0.0692771084,0.0903614458,0,0.6,0.6006740786,0.3035988926,0.4545454545,0.4747474747,0.4545454545,0.2498541574,0,0.0869565217
Graduation,Single,0.375,0.03125,0.546875,0.015625,0.2307692308,0.4615384615,0.1538461538,0.3846153846,0,0,,0.046875,0.03125,1,0.1,0.2702529983,0.0169178714,0.1818181818,0.4444444444,0.4363636364,0.0289916665,0,0.6086956522
Master,Together,0.8754716981,0.0113207547,0.1132075472,0,0.2222222222,0.5,0.2222222222,0.2777777778,0,0,,0.0867924528,0,1,0.2666666667,0.3512562374,0.0787450015,0.4545454545,0.7777777778,0.8727272727,0.0996076547,0.25,0.0869565217
Graduation,Married,0.6678082192,0.0102739726,0.1746575342,0.0582191781,0.0555555556,0.3888888889,0.2222222222,0.3888888889,0,0,,0.1883561644,0.0890410959,0,0.2666666667,0.4567189005,0.0870501384,0.2727272727,0.8787878788,0.1636363636,0.1104171671,0.25,0.0869565217
Basic,Together,0.0434782609,0.1086956522,0.1304347826,0.1956521739,0.0909090909,0.4545454545,0.2727272727,0.2727272727,0,0,,0.4565217391,0.5217391304,1,0.0333333333,0.1682220082,0.0113811135,0.3636363636,0.1111111111,0.2,0.0236499028,0.25,0.2608695652
2n Cycle,Married,0.143067124,0.0377266046,0.7212150906,0.0759431651,0.0434782609,0.347826087,0.347826087,0.3043478261,0,1,,0.0112689858,0.0220480157,0,0.4333333333,0.8705418892,0.6250384497,0.3636363636,0.0202020202,0.2,0.632998778,0,0.0869565217
Graduation,Married,0.3377703827,0.1846921797,0.3577371048,0.0898502496,0.0434782609,0.347826087,0.1739130435,0.4782608696,0,0,,0.1397670549,0.0299500832,1,0.4333333333,0.6080889434,0.1820978161,0.3636363636,0.6262626263,0.4909090909,0.1818191313,0,0.347826087
Graduation,Married,0.504587156,0.0183486239,0.4311926606,0.0091743119,0.1538461538,0.4615384615,0.3076923077,0.2307692308,0,0,,0.6880733945,0.0366972477,1,0.1,0.3246870349,0.0307597662,0.1818181818,0.595959596,0.4,0.0539366951,0.25,0
Graduation,Married,0.850174216,0,0.1411149826,0.0087108014,0.2916666667,0.4583333333,0.3333333333,0.2083333333,0,0,,0.2979094077,0,1,0.4666666667,0.4763984943,0.1737926792,0.6363636364,0.6767676768,0.8181818182,0.165865962,0,0.4347826087
Graduation,Married,0.4955414013,0.0878980892,0.2636942675,0.0535031847,0.0384615385,0.3461538462,0.3846153846,0.2692307692,0,0,,0.2522292994,0.0993630573,0,0.5333333333,0.5032828504,0.2386957859,0.4545454545,0.5151515152,0.4363636364,0.2110903749,0.25,0.0434782609
Graduation,Single,0.1857887875,0.0775749674,0.6023468057,0.0599739244,0.0416666667,0.2916666667,0.25,0.4583333333,0,0,,0.1258148631,0.074315515,0,0.4666666667,0.6998424232,0.4690864349,0.2727272727,0.8888888889,0.2727272727,0.4541196253,0,0.4782608696
Graduation,Single,0.0705064548,0.1479642502,0.414101291,0.1271102284,0.037037037,0.3333333333,0.4444444444,0.2222222222,0,0,,0.0486593843,0.2403177756,1,0.5666666667,0.760203099,0.3069824669,0.4545454545,0.1212121212,0.7272727273,0.2622841434,0,0
Basic,Divorced,0.0425531915,0.170212766,0.3829787234,0.0638297872,0.2307692308,0.4615384615,0.1538461538,0.3846153846,0,0,,0.2127659574,0.3404255319,1,0.1,0.0998249146,0.0116887112,0.1818181818,0.3737373737,0.4727272727,0.0195679891,0,0.2608695652
Master,Divorced,0.6291390728,0.0264900662,0.2928623988,0.0161883738,0.08,0.32,0.16,0.52,0,0,,0.0345842531,0.0353200883,0,0.5,0.5125186028,0.415256844,0.3636363636,0.5353535354,0.8545454545,0.3852510209,0,0.5217391304
PhD,Married,0.8461538462,0,0.1538461538,0,0.1,0.5,0.2,0.3,0,0,,0.1538461538,0,1,0,0.4055764685,0.0012303906,0.1818181818,0.7171717172,0.4181818182,0.0028825366,0,0.5652173913
Graduation,Married,0.3452380952,0.0595238095,0.5714285714,0.0238095238,0.2307692308,0.4615384615,0.2307692308,0.3076923077,0,1,,0.2380952381,0,1,0.1,0.2250984855,0.0230698247,0.3636363636,0.1919191919,0.1636363636,0.0400783459,0,0.6086956522
PhD,Together,0.8888888889,0,0.1111111111,0,0.1818181818,0.4545454545,0.2727272727,0.2727272727,0,0,,0.4444444444,0,1,0.0333333333,0.245224547,0.0055367579,0.0909090909,0.4343434343,0.7818181818,0.0112025855,0.25,0.0434782609
PhD,Divorced,0.3031496063,0.1036745407,0.532808399,0.0393700787,0.037037037,0.3333333333,0.3333333333,0.3333333333,0,1,,0.010936133,0.0209973753,0,0.5666666667,0.8203886895,0.700399877,0.4545454545,0.2121212121,0.6727272727,0.6036512131,0.25,0.2608695652
PhD,Married,0.8157894737,0,0.1842105263,0,0.1875,0.5,0.1875,0.3125,0,0,,0.2842105263,0,1,0.2,0.291201961,0.0556751769,0.3636363636,0.2323232323,0.4181818182,0.0790895988,0,0.9565217391
Graduation,Together,0.8808290155,0,0.1088082902,0,0.0625,0.5625,0.1875,0.25,0,0,,0.2227979275,0.0103626943,1,0.2,0.5571128425,0.0565979699,0.4545454545,0.1313131313,0.4181818182,0.0804407879,0,0
2n Cycle,Single,0.1982758621,0.1428571429,0.4753694581,0.052955665,0.04,0.24,0.28,0.48,0,0,,0.104679803,0.1305418719,0,0.5,0.5900726604,0.2470009228,0.1818181818,0.0303030303,0.1636363636,0.2275762671,0,0.1739130435
Graduation,Married,0.2509247842,0.1054254007,0.4827373613,0.0992601726,0.0384615385,0.3846153846,0.3076923077,0.3076923077,0,0,,0.1023427867,0.0616522811,0,0.5333333333,0.7773964808,0.4961550292,0.5454545455,0.4646464646,0.5818181818,0.4430791404,0,0
Graduation,Single,0.3497431507,0.1190068493,0.4413527397,0.0428082192,0.04,0.32,0.32,0.36,0,1,,0.1344178082,0.0470890411,0,0.5,0.7478245645,0.7157797601,0.3636363636,0.1313131313,0.4545454545,0.6668748499,0.25,0.9565217391
Graduation,Divorced,0.3404864092,0.0114449213,0.5350500715,0.0214592275,0.2083333333,0.5833333333,0.125,0.2916666667,0,0,,0.2632331903,0.0915593705,1,0.4666666667,0.5774840235,0.212242387,0.9090909091,0.9393939394,0.4181818182,0.2033989911,0,0.5652173913
2n Cycle,Married,0.213836478,0.320754717,0.251572327,0.1383647799,0.1111111111,0.3333333333,0.1666666667,0.5,0,0,,0.0817610063,0.0754716981,1,0.2666666667,0.4548192244,0.0950476776,0.1818181818,0.8888888889,0.7818181818,0.1208263272,0,0
Master,Divorced,0.3225806452,0.0483870968,0.564516129,0.0322580645,0.3571428571,0.5,0.1428571429,0.3571428571,0,0,,0.0967741935,0.0322580645,1,0.1333333333,0.0990370306,0.0163026761,0.3636363636,0.5050505051,0.5818181818,0.025428091,0,0.6956521739
Master,Divorced,0.555431131,0.0638297872,0.3258678611,0.039193729,0.0357142857,0.3214285714,0.4642857143,0.2142857143,0,0,,0.0425531915,0.0156774916,0,0.6,0.5022848639,0.2719163334,0.4545454545,0.7878787879,0.3636363636,0.2233451151,0,0.6086956522
Graduation,Married,0.3543478261,0.1565217391,0.2934782609,0,0.05,0.35,0.2,0.45,0,0,,0.147826087,0.1956521739,1,0.3333333333,0.5781493478,0.1387265457,0.2727272727,0.1313131313,0.3636363636,0.1592601489,0,0.347826087
2n Cycle,Married,0.2105263158,0.1052631579,0.4736842105,0.0701754386,0.0833333333,0.5,0.1666666667,0.3333333333,0,0,,0.0701754386,0.1403508772,1,0.0666666667,0.3203799352,0.0147646878,0.1818181818,0.8585858586,0.4545454545,0.0277444151,0,0
Graduation,Together,0.4744455159,0.0371263259,0.31243973,0.0602700096,0.0303030303,0.2121212121,0.3636363636,0.4242424242,0,0,,0.1190935391,0.1157184185,0,0.7666666667,0.7866672503,0.6351891726,0.2727272727,0.5555555556,0.4363636364,0.4464219422,0.25,0.8260869565
2n Cycle,Married,0.7851140456,0.0132052821,0.1656662665,0,0.25,0.4642857143,0.2142857143,0.3214285714,0,0,,0.0468187275,0.0360144058,1,0.6,0.6075374245,0.2534604737,0.8181818182,0.5858585859,0.5636363636,0.2079029546,0.5,0.2173913043
PhD,Married,0.3989501312,0.0367454068,0.4776902887,0.0236220472,0.2105263158,0.5263157895,0.2105263158,0.2631578947,0,0,,0.154855643,0.062992126,1,0.3,0.2120196096,0.1144263304,0.5454545455,0.9090909091,0.2363636364,0.1380204053,0,0.9565217391
Graduation,Single,0.2897862233,0.1197149644,0.5543942993,0.0137767221,0.0344827586,0.3448275862,0.1724137931,0.4827586207,0,1,,0.0779097387,0.022327791,0,0.6333333333,0.8918147597,0.6447247001,0.5454545455,0.7676767677,0.1090909091,0.5165952935,0.75,0.5217391304
Graduation,Divorced,0.6842105263,0,0.2105263158,0.0350877193,0.3333333333,0.4666666667,0.2,0.3333333333,0,0,,0.1871345029,0.0701754386,1,0.1666666667,0.3948437363,0.0498308213,0.2727272727,0.7878787879,0.6545454545,0.0756665866,0,0.5217391304
2n Cycle,Together,0.2233721432,0.0668391548,0.4799482536,0.0668391548,0.0434782609,0.347826087,0.347826087,0.3043478261,0,0,,0.0871065114,0.1630012937,0,0.4333333333,0.657226648,0.7105505998,0.3636363636,0.7070707071,0.4909090909,0.7201015154,0,0.6956521739
Graduation,Together,0.2744897959,0.1306122449,0.3795918367,0.0132653061,0.0740740741,0.3333333333,0.2222222222,0.4444444444,0,0,,0.0193877551,0.2020408163,1,0.5666666667,0.5507484899,0.2986773301,0.4545454545,0.3838383838,0.7818181818,0.2550778018,0,0.5652173913
Basic,Single,0.2222222222,0.1666666667,0.2222222222,0.2777777778,0.1818181818,0.4545454545,0.1818181818,0.3636363636,0,0,,0.4166666667,0.1111111111,1,0.0333333333,0.2447780793,0.0083051369,0.2727272727,0.2323232323,0.6363636364,0.0170986832,0,0.8695652174
Graduation,Single,0.8402684564,0,0.1409395973,0,0.0740740741,0.4814814815,0.1851851852,0.3333333333,0,0,,0.0496644295,0.0187919463,1,0.5666666667,0.6062505471,0.2263918794,0.8181818182,0.2525252525,0.4363636364,0.1923559399,0.5,0.1304347826
PhD,Together,0.2157190635,0.0443143813,0.6914715719,0.0200668896,0.05,0.3,0.3,0.4,0,0,,0.0677257525,0.0284280936,0,0.3333333333,0.6589862558,0.3651184251,0.1818181818,0.2828282828,0.9818181818,0.4244535191,0,0.5652173913
Basic,Married,0.1851851852,0.4444444444,0.2962962963,0,0.0909090909,0.4545454545,0.1818181818,0.3636363636,0,0,,0.4814814815,0.0740740741,1,0.0333333333,0.2245644752,0.0055367579,0.0909090909,0.4545454545,0.3636363636,0.0112025855,0,0.347826087
Graduation,Married,0.2873563218,0.0689655172,0.6436781609,0,0.2142857143,0.5,0.1428571429,0.3571428571,0,0,,0.0344827586,0,1,0.1333333333,0.1596515801,0.0239926177,0.2727272727,0.2626262626,0.4545454545,0.0382965581,0,0.2173913043
2n Cycle,Single,0.7164634146,0,0.118902439,0.0243902439,0.1578947368,0.4210526316,0.1578947368,0.4210526316,0,0,,0.1890243902,0.1402439024,1,0.3,0.503562987,0.0981236543,0.3636363636,0.1111111111,0.3272727273,0.1179185051,0,0.8695652174
Graduation,Married,0.85,0,0.15,0,0.1818181818,0.4545454545,0.1818181818,0.3636363636,1,0,,0.15,0,1,0.0333333333,0.1550818524,0.0033835743,0.1818181818,0.3131313131,0.8363636364,0.0066167318,0,0.1304347826
Basic,Single,0.0712166172,0.0522255193,0.7988130564,0.037388724,0.0434782609,0.4347826087,0.2173913043,0.347826087,0,1,,0.1198813056,0.0403560831,0,0.4333333333,0.8001925939,0.5155336819,0.5454545455,0.2929292929,0.2727272727,0.5214571431,0,0.2173913043
Graduation,Single,0.1333333333,0.0476190476,0.419047619,0.0761904762,0.1538461538,0.5384615385,0.1538461538,0.3076923077,0,0,,0.0761904762,0.3238095238,1,0.1,0.1650967347,0.0295293756,0.4545454545,0.5454545455,0.1454545455,0.0517193592,0,0.5652173913
Graduation,Married,0.3630987581,0.0230632762,0.4612655234,0.042578356,0.037037037,0.2592592593,0.4814814815,0.2592592593,0,0,,0.0307510349,0.1099940863,0,0.5666666667,0.6472292743,0.5173792679,0.2727272727,0.7272727273,0.4363636364,0.4448447967,0.25,0.5217391304
Graduation,Together,0.5333333333,0.0148148148,0.3703703704,0.0518518519,0.2857142857,0.5,0.2142857143,0.2857142857,0,1,,0.179028379,0.0296296296,1,0.1333333333,0.4293443053,0.0387573054,0.3636363636,0.2626262626,0.8181818182,0.063004015,0,0.347826087
Graduation,Married,0.4663526245,0.1749663526,0.1049798116,0.0787348587,0,0.3,0.3,0.4,0,0,,0.0572005384,0.1749663526,0,0.6666666667,0.7950363302,0.4543217472,0.4545454545,0.0707070707,0.9090909091,0.3504684122,0.25,0.8260869565
Graduation,Together,0.2997870075,0.0394036209,0.6182108626,0.0101171459,0.0303030303,0.3333333333,0.2727272727,0.3939393939,0,0,,0.1299254526,0.0324813632,0,0.7666666667,0.7795062593,0.5749000308,0.6363636364,0.9898989899,0.2181818182,0.4036206407,0,0.9130434783
2n Cycle,Married,0.6821052632,0.0252631579,0.1705263158,0,0.1379310345,0.5172413793,0.1379310345,0.3448275862,0,0,,0.1021052632,0.1221052632,1,0.6333333333,0.5504771076,0.2894494002,1,0.7575757576,0.7454545455,0.229584103,0,0.7826086957
Master,Single,0.1972789116,0.3537414966,0.3129251701,0.0476190476,0.0588235294,0.4117647059,0.1764705882,0.4117647059,0,0,,0.0442176871,0.0884353741,1,0.2333333333,0.4780092795,0.0876653337,0.2727272727,0.5151515152,0.6363636364,0.1181416117,0,0.3043478261
Graduation,Together,0.2763873776,0.0576713819,0.563656148,0.0413492927,0.037037037,0.2962962963,0.2962962963,0.4074074074,0,0,,0.0402611534,0.0609357998,0,0.5666666667,0.6019084304,0.2799138727,0.3636363636,0.5353535354,0.7818181818,0.2387968079,0,0.1304347826
Graduation,Together,0.2605678233,0.1015772871,0.5772870662,0.0195583596,0.0416666667,0.3333333333,0.3333333333,0.3333333333,0,0,,0.029022082,0.0410094637,0,0.4666666667,0.8119145583,0.4847739157,0.3636363636,0.2323232323,0.8909090909,0.4694331011,0,0.1304347826
Graduation,Married,0.1577981651,0.128440367,0.6137614679,0.0577981651,0.0434782609,0.4347826087,0.347826087,0.2173913043,0,1,,0.1669724771,0.0422018349,0,0.4333333333,0.7319180601,0.3325130729,0.5454545455,0.0707070707,0.7818181818,0.3350322196,0.5,0.6086956522
Graduation,Together,0.2307692308,0.2307692308,0.3846153846,0,0.1,0.5,0.2,0.3,0,0,,0.1538461538,0.1538461538,1,0,0.1914908518,0.0012303906,0.1818181818,0.3838383838,0.6,0.0028825366,0,0.1304347826
2n Cycle,Divorced,0.0909090909,0.2,0.3818181818,0.1090909091,0.1666666667,0.5,0.1666666667,0.3333333333,0,0,,0.4363636364,0.2181818182,1,0.0666666667,0.1127899851,0.0141494925,0.2727272727,0.9191919192,0.1818181818,0.0265433582,0,0.6956521739
2n Cycle,Single,0.1044973545,0.0489417989,0.7341269841,0.0145502646,0.0285714286,0.3142857143,0.2857142857,0.4,0,1,,0.0211640212,0.0978835979,0,0.8333333333,0.8901864659,0.4623192864,0.6363636364,0.3535353535,0.5636363636,0.3048282489,0.75,0.5652173913
Basic,Single,0.1217391304,0.0695652174,0.4956521739,0.0869565217,0.2142857143,0.5,0.2142857143,0.2857142857,0,0,,0.6608695652,0.2260869565,1,0.1333333333,0.1677142607,0.0326053522,0.4545454545,0.7373737374,0.1454545455,0.0527092413,0,0.9565217391
Graduation,Together,0.5563957152,0.0604914934,0.288594833,0.063642092,0.0322580645,0.3225806452,0.2903225806,0.3870967742,0,0,,0.0529300567,0.0308758664,0,0.7,0.6993346757,0.485389111,0.5454545455,0.6464646465,0.0909090909,0.362432489,0,0.2608695652
